epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,2843,0.85702,0.4636,0.0112,0.95339,0.89397,0.95563,0.75708,0.77065,0.33794,0.01212,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2891.52,0.89851,0.51059,0.011,0.91918,0.89875,0.94017,0.7524,0.74918,0.3872,0.01179,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,2940.25,0.86734,0.49775,0.01114,0.93653,0.88641,0.95086,0.74883,0.75969,0.36035,0.01189,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,2989.27,0.88914,0.5003,0.01142,0.92918,0.89461,0.94933,0.74723,0.76368,0.36174,0.0123,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3038.68,0.85908,0.4841,0.01108,0.94317,0.89494,0.95122,0.7574,0.75219,0.34732,0.01146,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3088.29,0.85769,0.49294,0.01137,0.93885,0.89049,0.95609,0.7587,0.75828,0.35394,0.01206,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3139.24,0.84603,0.46662,0.01073,0.94313,0.89188,0.95597,0.75867,0.76341,0.35804,0.01189,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3189.5,0.87506,0.49351,0.01086,0.93787,0.9049,0.95403,0.75704,0.75563,0.33362,0.01174,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3240.82,0.86925,0.4837,0.01108,0.93747,0.90757,0.95187,0.754,0.75504,0.33708,0.01176,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3294.15,0.85588,0.46197,0.01091,0.94944,0.89435,0.952,0.75928,0.7353,0.33603,0.0114,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3346,0.85129,0.46711,0.01079,0.94465,0.90164,0.94793,0.75481,0.75752,0.34934,0.0119,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3398.15,0.83591,0.44786,0.01048,0.93231,0.90575,0.95636,0.7657,0.73065,0.33506,0.01144,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,3450.34,0.84065,0.46186,0.01072,0.93529,0.89491,0.95396,0.75866,0.75366,0.34191,0.01155,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,3502.71,0.8627,0.47859,0.01095,0.94905,0.88466,0.95472,0.7567,0.76679,0.33725,0.01188,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,3554.11,0.85491,0.47273,0.01089,0.94587,0.90539,0.96032,0.76693,0.72701,0.32065,0.01102,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,3605.72,0.86563,0.48184,0.01061,0.95173,0.8795,0.94961,0.76552,0.72564,0.35847,0.01122,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,3657.05,0.83338,0.44591,0.01048,0.93784,0.88556,0.95316,0.76247,0.7341,0.3427,0.01138,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,3708.89,0.83662,0.46545,0.01041,0.9322,0.90993,0.95727,0.76273,0.74019,0.32442,0.01173,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,3761.53,0.83339,0.4471,0.01069,0.94884,0.8888,0.94971,0.75862,0.73508,0.33777,0.01126,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,3814.29,0.81793,0.44073,0.0106,0.93406,0.87925,0.94821,0.75433,0.7483,0.35686,0.01161,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,3866.85,0.82158,0.42443,0.01036,0.93496,0.90756,0.955,0.76272,0.72163,0.33282,0.01107,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,3918.77,0.8172,0.43303,0.01016,0.95202,0.90149,0.95246,0.764,0.73015,0.32261,0.01147,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,3969.99,0.82611,0.44053,0.01029,0.92953,0.91548,0.95711,0.77072,0.71975,0.31948,0.01107,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4021.82,0.81312,0.43689,0.01044,0.94668,0.90878,0.95596,0.7602,0.7389,0.32568,0.01181,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4074.56,0.81335,0.42603,0.01039,0.9496,0.89958,0.96022,0.76579,0.74588,0.31328,0.01161,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4126.88,0.83172,0.42806,0.01046,0.95053,0.89704,0.94633,0.759,0.73508,0.33497,0.01112,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4178.13,0.81464,0.43167,0.0106,0.94724,0.89801,0.9564,0.76664,0.72533,0.32133,0.01102,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4229.97,0.82175,0.43705,0.01036,0.94329,0.88916,0.94738,0.75988,0.73236,0.34348,0.01103,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4281.37,0.83626,0.44283,0.0107,0.95109,0.89836,0.96301,0.77227,0.71784,0.31974,0.0111,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4333.29,0.82869,0.44747,0.01042,0.94582,0.91441,0.9628,0.76787,0.73163,0.30521,0.01118,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,4385.38,0.80964,0.44263,0.01,0.95425,0.90556,0.96164,0.7721,0.73272,0.31565,0.01103,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,4437.04,0.81907,0.42617,0.00999,0.93869,0.91326,0.95761,0.76846,0.71875,0.31421,0.01098,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,4489.11,0.79553,0.41497,0.00984,0.94474,0.90404,0.96279,0.77657,0.70317,0.3145,0.0106,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,4541.9,0.80847,0.43372,0.00997,0.93199,0.90896,0.96232,0.77595,0.7127,0.3154,0.01087,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,4593.92,0.78288,0.40859,0.00973,0.94116,0.91417,0.95977,0.77749,0.70462,0.31258,0.01071,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,4646.11,0.81333,0.43729,0.01028,0.94278,0.89844,0.95717,0.76685,0.73929,0.32723,0.01158,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,4698.62,0.80773,0.41103,0.0101,0.92763,0.91833,0.96215,0.77726,0.71536,0.30888,0.01097,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,4750.82,0.81245,0.43382,0.01029,0.94059,0.91083,0.95607,0.76976,0.72116,0.33112,0.01096,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,4803.31,0.80601,0.42991,0.00984,0.9524,0.89364,0.96124,0.77656,0.70886,0.31634,0.01084,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,4855.12,0.78525,0.40451,0.00985,0.95194,0.89659,0.95788,0.7725,0.7167,0.31458,0.01094,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,4906.58,0.7914,0.40672,0.00998,0.94256,0.91462,0.96159,0.7742,0.71328,0.30724,0.0109,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,4958.42,0.7978,0.41638,0.01011,0.93991,0.91663,0.95957,0.77864,0.69802,0.2994,0.01059,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5010.36,0.81017,0.42992,0.01022,0.94822,0.91075,0.9592,0.7741,0.71585,0.30892,0.01092,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,5062.87,0.78959,0.40693,0.0097,0.93811,0.91272,0.95919,0.77595,0.71014,0.30523,0.01077,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,5115.89,0.78247,0.4094,0.00964,0.94904,0.91298,0.95965,0.77279,0.73138,0.31144,0.01109,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,5168.24,0.77822,0.4034,0.00976,0.9445,0.91428,0.95706,0.7759,0.71262,0.32003,0.01078,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,5220.03,0.76663,0.38993,0.00982,0.93597,0.91459,0.95638,0.77255,0.72247,0.32079,0.01096,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,5272.12,0.7669,0.39039,0.0098,0.9361,0.92217,0.95623,0.77238,0.71789,0.30265,0.01087,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,5325.29,0.77731,0.40065,0.00966,0.93482,0.91588,0.95752,0.78021,0.70645,0.31471,0.01069,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,5377.17,0.7865,0.39871,0.00959,0.93907,0.91488,0.96129,0.78002,0.72017,0.30225,0.01108,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,5429.3,0.78264,0.39938,0.00962,0.93097,0.92364,0.95669,0.77037,0.71839,0.31296,0.01091,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,5481.55,0.8047,0.40436,0.00985,0.93964,0.90941,0.95625,0.77501,0.71176,0.31244,0.0108,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
