epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,2905.37,0.71936,0.45672,1.07329,0.93279,0.91792,0.96099,0.76679,0.71354,0.4431,0.98625,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,2942.91,0.72328,0.46493,1.07531,0.94575,0.92143,0.96549,0.77498,0.70897,0.46123,0.98666,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,2980.1,0.73238,0.46735,1.07765,0.94988,0.91036,0.95825,0.77206,0.70103,0.44256,0.98388,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,3018.47,0.71898,0.45778,1.08026,0.94952,0.90689,0.96404,0.77442,0.70612,0.50915,0.98042,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,3056.09,0.71975,0.45675,1.07622,0.95201,0.90749,0.96328,0.77724,0.7016,0.41236,0.97978,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,3094.56,0.73705,0.46086,1.07933,0.93889,0.90472,0.95187,0.76272,0.72764,0.54607,0.99563,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,3132.97,0.71969,0.45351,1.07636,0.93498,0.91774,0.96362,0.77632,0.69806,0.39406,0.96958,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,3171.04,0.73436,0.4696,1.08044,0.93113,0.91173,0.95887,0.77189,0.70558,0.38713,0.9788,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,3209.5,0.74055,0.46737,1.09116,0.95743,0.90493,0.96516,0.77867,0.70377,0.42981,0.97944,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,3247.43,0.73483,0.47325,1.08644,0.9388,0.92132,0.96509,0.77753,0.70261,0.38017,0.9814,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,3285.89,0.72124,0.45926,1.07361,0.94447,0.91521,0.96552,0.77664,0.70112,0.39706,0.97442,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,3325.04,0.7219,0.45632,1.07091,0.95148,0.9206,0.96711,0.77665,0.70414,0.37797,0.97396,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,3364.02,0.71019,0.44907,1.05933,0.95563,0.91825,0.96616,0.77804,0.69454,0.41258,0.97196,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,3402.54,0.71156,0.45384,1.06399,0.95915,0.90934,0.96578,0.77902,0.69264,0.4231,0.97067,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,3441.2,0.69266,0.43534,1.05803,0.96098,0.91073,0.9634,0.78012,0.69334,0.41111,0.96801,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
