               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.025581,            0.017228,           0.0029373,               0.926,             0.89955,             0.95201,             0.73273,             0.02031,            0.010137,           0.0021142,            0.007591,            0.007591,            0.007591
                  75,            0.024914,            0.016855,           0.0029981,             0.91853,             0.91292,              0.9544,             0.73025,            0.020544,             0.01009,           0.0020558,            0.007558,            0.007558,            0.007558
                  76,            0.025567,            0.017035,           0.0031183,             0.91763,              0.9081,             0.95498,             0.73137,            0.020222,            0.010235,           0.0019537,            0.007525,            0.007525,            0.007525
                  77,            0.025286,            0.016912,           0.0028156,             0.92699,             0.90506,             0.95091,             0.73627,            0.019903,            0.010136,           0.0019689,            0.007492,            0.007492,            0.007492
                  78,            0.025122,            0.016805,           0.0031242,             0.92615,             0.88685,             0.94965,             0.72933,            0.020652,            0.010414,           0.0026091,            0.007459,            0.007459,            0.007459
                  79,            0.025235,            0.016752,           0.0028825,             0.92716,             0.91032,             0.95509,             0.73228,            0.019956,           0.0099712,           0.0022321,            0.007426,            0.007426,            0.007426
                  80,              0.0253,             0.01672,           0.0026912,             0.91831,             0.90691,              0.9541,             0.73377,            0.020351,            0.010297,           0.0023775,            0.007393,            0.007393,            0.007393
                  81,            0.024819,            0.016694,           0.0028426,             0.92167,             0.90699,             0.95648,             0.73849,            0.019857,            0.010127,           0.0021127,             0.00736,             0.00736,             0.00736
                  82,            0.024349,            0.016037,           0.0030444,             0.92112,             0.90677,              0.9546,             0.73711,            0.020034,            0.010014,           0.0019373,            0.007327,            0.007327,            0.007327
                  83,             0.02441,            0.016347,           0.0029574,             0.92168,             0.90257,             0.95324,             0.73909,                0.02,             0.01011,           0.0021022,            0.007294,            0.007294,            0.007294
                  84,            0.024815,             0.01703,           0.0027885,              0.9247,             0.91938,             0.95737,             0.73909,            0.020133,           0.0098686,           0.0020071,            0.007261,            0.007261,            0.007261
                  85,            0.024457,            0.016483,           0.0025941,             0.92916,             0.90944,             0.95201,             0.73478,            0.020535,            0.010223,           0.0020725,            0.007228,            0.007228,            0.007228
                  86,            0.024706,            0.016771,           0.0028705,             0.92778,             0.91124,             0.95688,             0.74512,            0.019972,           0.0097407,           0.0021922,            0.007195,            0.007195,            0.007195
                  87,            0.024959,            0.017083,           0.0029755,             0.91807,             0.90999,             0.95002,             0.73469,             0.02017,            0.010166,           0.0020115,            0.007162,            0.007162,            0.007162
                  88,            0.024508,            0.016269,           0.0029015,             0.91186,             0.91831,              0.9528,             0.73657,            0.020231,           0.0099908,            0.002082,            0.007129,            0.007129,            0.007129
                  89,            0.025104,             0.01665,           0.0028611,             0.92501,             0.91371,             0.95508,             0.74158,             0.01982,            0.010157,           0.0019412,            0.007096,            0.007096,            0.007096
                  90,            0.024713,            0.016757,           0.0029562,             0.92489,              0.9046,             0.95271,             0.74665,            0.019703,             0.01011,           0.0021451,            0.007063,            0.007063,            0.007063
                  91,            0.024655,            0.017009,           0.0029744,             0.92473,             0.91914,             0.95304,             0.73613,            0.019877,             0.01012,           0.0023009,             0.00703,             0.00703,             0.00703
                  92,            0.024031,            0.016351,           0.0027707,             0.93558,             0.91337,             0.96168,             0.74669,            0.019954,           0.0098461,           0.0020277,            0.006997,            0.006997,            0.006997
                  93,            0.024397,            0.016494,           0.0027744,             0.92489,             0.91883,             0.95643,             0.74352,            0.019737,           0.0099365,           0.0020834,            0.006964,            0.006964,            0.006964
                  94,            0.024457,            0.016664,           0.0027632,             0.92752,              0.9222,             0.95743,             0.74728,             0.01988,            0.010037,            0.002084,            0.006931,            0.006931,            0.006931
                  95,            0.024281,            0.016563,           0.0028075,             0.92814,             0.91887,             0.95762,             0.74635,            0.019604,           0.0097226,           0.0018952,            0.006898,            0.006898,            0.006898
                  96,            0.024157,             0.01632,           0.0026665,             0.93152,             0.92271,              0.9581,             0.74569,            0.020009,           0.0099917,           0.0018478,            0.006865,            0.006865,            0.006865
                  97,            0.023682,            0.016072,            0.002871,             0.92556,             0.92139,             0.95892,             0.74115,            0.020102,            0.010001,           0.0020055,            0.006832,            0.006832,            0.006832
                  98,            0.024037,            0.016304,           0.0027691,             0.91163,             0.91127,             0.95582,             0.74525,            0.019704,           0.0098936,           0.0018918,            0.006799,            0.006799,            0.006799
                  99,            0.023684,            0.015891,            0.002447,             0.93227,             0.90627,             0.95795,             0.74956,             0.01975,           0.0097984,           0.0018606,            0.006766,            0.006766,            0.006766
                 100,            0.023781,            0.016295,           0.0025497,             0.92626,             0.90847,             0.95379,             0.74276,            0.019771,           0.0099057,            0.002084,            0.006733,            0.006733,            0.006733
                 101,            0.024041,            0.016074,           0.0026221,             0.93617,             0.91717,             0.96087,             0.75213,            0.019539,           0.0097942,           0.0020077,              0.0067,              0.0067,              0.0067
                 102,            0.023634,            0.016315,           0.0026688,             0.92756,             0.90825,             0.95573,             0.74132,             0.01993,           0.0099983,           0.0020384,            0.006667,            0.006667,            0.006667
                 103,            0.023816,             0.01636,           0.0025979,             0.93044,             0.92225,             0.95664,             0.74921,            0.019615,            0.010007,           0.0020844,            0.006634,            0.006634,            0.006634
                 104,            0.023801,            0.015739,           0.0027321,             0.92575,             0.93332,              0.9609,             0.75443,            0.019711,           0.0098126,           0.0018168,            0.006601,            0.006601,            0.006601
                 105,            0.023329,            0.015963,           0.0025018,             0.93158,             0.91342,             0.95435,             0.74937,            0.019603,           0.0099543,           0.0018205,            0.006568,            0.006568,            0.006568
                 106,            0.023381,            0.016053,           0.0026222,             0.91647,             0.92462,             0.95506,             0.75059,            0.019395,            0.009975,           0.0018849,            0.006535,            0.006535,            0.006535
                 107,            0.023521,            0.015999,           0.0026939,              0.9236,             0.91485,             0.95786,             0.74939,            0.019738,           0.0097816,           0.0019705,            0.006502,            0.006502,            0.006502
                 108,             0.02374,            0.016207,           0.0027335,              0.9198,             0.91682,             0.95615,             0.74709,            0.019827,            0.010043,           0.0023877,            0.006469,            0.006469,            0.006469
                 109,            0.023596,            0.015889,           0.0026956,             0.93674,             0.92281,             0.95798,             0.74986,            0.019453,           0.0097509,           0.0020102,            0.006436,            0.006436,            0.006436
                 110,            0.023789,            0.016283,           0.0027597,             0.92723,             0.92429,             0.95957,             0.74965,            0.019712,           0.0099803,           0.0021726,            0.006403,            0.006403,            0.006403
                 111,            0.023067,            0.015682,           0.0024941,             0.93098,             0.91577,             0.95595,             0.74831,            0.019515,            0.010107,           0.0019337,             0.00637,             0.00637,             0.00637
                 112,            0.023386,            0.015639,           0.0026278,             0.93525,              0.9213,             0.96101,              0.7538,            0.019377,           0.0098094,           0.0019333,            0.006337,            0.006337,            0.006337
                 113,            0.023359,            0.016069,           0.0025038,             0.91435,              0.9254,             0.95807,             0.75072,            0.019459,            0.010102,           0.0020826,            0.006304,            0.006304,            0.006304
